municipality_id,department,municipality,corredor_seco_160,historical_mean_may_aug_mm,historical_median_may_aug_mm,historical_sd_may_aug_mm,historical_min_may_aug_mm,historical_max_may_aug_mm,historical_p10_may_aug_mm,historical_p20_may_aug_mm,historical_p80_may_aug_mm,historical_p90_may_aug_mm,rain_2026_may_aug_mm,rainfall_anomaly_pct_vs_historical_median,rainfall_historical_percentile,rainfall_z_score_vs_1981_2025,chirps_2026_status
101,Guatemala,Guatemala,1,805.9353880763103,786.9067319808634,168.58441163415105,560.1430032031847,1337.0110274874728,608.7104135119613,666.9195709651297,931.6943303309753,1016.0453064403073,375.6612106864924,-52.261024665420194,0.0,-2.5522773619399994,FINAL
102,Guatemala,Santa Catarina Pinula,0,979.7887848916724,964.5615816898903,188.28410955681804,709.5617154278053,1609.5253189055052,768.011328948364,817.8541295740201,1107.7911034228116,1187.4652131784653,483.9375643512376,-49.828235590371555,0.0,-2.633526651333277,FINAL
103,Guatemala,San José Pinula,0,1157.1574856924851,1147.5343896484899,214.54544181718063,856.805358831504,1910.156082627185,910.7942265045947,946.0827251278154,1325.0487281109229,1373.3673560988882,636.1784319671231,-44.56127522574763,0.0,-2.428292343629938,FINAL
104,Guatemala,San José Del Golfo,1,564.2120971368274,540.3428684672817,127.61438389904865,336.16631795193257,934.7917443990295,413.67368226137927,462.26770250244675,663.8091570821572,739.9162796237212,280.92232752826453,-48.01035714136114,0.0,-2.219889019976492,FINAL
105,Guatemala,Palencia,1,813.5525578322723,805.332007234453,175.5907257759969,518.8578817440826,1298.4282160355185,591.1993710292069,667.0865617336445,901.684443692857,1025.77917739287,412.8493051921758,-48.735515106382124,0.0,-2.2820297078290928,FINAL
106,Guatemala,Chinautla,1,781.2513278676729,744.2927053996855,175.818569432629,513.2265317717445,1298.0919147540121,587.2245856324312,645.2059654056378,915.2595326728567,1006.0189753403528,367.66835335320656,-50.601644932719246,0.0,-2.3523281747150437,FINAL
107,Guatemala,San Pedro Ayampuc,1,679.3514012654831,647.5895377779578,147.4031573174629,435.2565456910141,1131.7417224220535,520.466678596381,565.5903832894361,797.8777020574307,870.6864911365129,337.83690689480534,-47.83162988487916,0.0,-2.316873672082589,FINAL
108,Guatemala,Mixco,0,782.2114395617658,759.2252311680379,168.7531626939166,555.4690103835918,1365.3985467258287,594.149208991159,653.5874639819539,930.7642814269354,993.3226630449001,363.27597779373303,-52.151751169432636,0.0,-2.4825339868023404,FINAL
109,Guatemala,San Pedro Sacatepéquez,0,794.3541452704935,759.8124052445611,178.34897148315923,542.9970884655618,1401.5860333307446,591.8974937623868,665.4812960973264,946.017279317023,1019.8271231551139,368.0538119267777,-51.55991013225007,0.0,-2.3902595557382824,FINAL
110,Guatemala,San Juan Sacatepéquez,1,783.2933334662749,745.6620746551938,168.60131643179946,529.6655264791084,1347.073640539285,585.5784561662838,665.0125290454484,939.9051079390839,1019.0882195966777,371.4920581773558,-50.179569163533,0.0,-2.4424558716627573,FINAL
111,Guatemala,San Raymundo,1,755.7512996836648,723.6792206921256,166.0762972765092,500.4328897701482,1275.304781160294,567.7711574489792,634.1144953090532,892.0243667211597,986.0088723067879,359.34374324947936,-50.34488583134892,0.0,-2.386900255695041,FINAL
112,Guatemala,Chuarrancho,1,632.3679121520246,606.4816104080229,139.41749551678137,385.40646054621106,1049.034392793267,474.87786712867813,520.630958246674,760.791183651531,819.3847648223247,328.8127032259811,-45.78356580263569,0.0,-2.177310729911263,FINAL
113,Guatemala,Fraijanes,1,984.886868442841,981.7434944308013,175.93129984548875,718.3425082110622,1618.2939794750678,790.7703682844531,833.3602106250436,1103.9027768180165,1210.6632112840978,504.4596101413289,-48.61594571260121,0.0,-2.730766263441731,FINAL
114,Guatemala,Amatitlán,1,770.7506099946462,765.5156165714398,141.7059418775292,550.0776041194734,1290.7197955258846,606.8432877547817,641.1090530401636,890.4032133098843,922.2901886107232,365.394291446203,-52.26821196898423,0.0,-2.860545670687377,FINAL
115,Guatemala,Villa Nueva,1,749.2480761473272,741.4737685440093,147.86884669335356,549.9850183912553,1286.5047243912613,587.1359535706627,624.3574909093722,886.8131862970132,926.3961883572787,353.2683504143919,-52.355920681039706,0.0,-2.677911775115873,FINAL
116,Guatemala,Villa Canales,1,958.5304515810557,949.6662954377317,165.2652985348972,688.3347275241284,1588.611286640865,785.3862967731664,806.5782141476017,1085.0745674728971,1152.2107668257518,487.80665384166537,-48.63388790513834,0.0,-2.848291818744955,FINAL
117,Guatemala,Petapa,1,824.5842238321788,822.7335824704712,155.46342950729655,594.0700307586701,1373.8814960342754,642.4669685650218,679.1860692888416,948.9487086265627,1016.1402880950766,396.87386492098227,-51.76155764430261,0.0,-2.751195958218086,FINAL
201,El Progreso,Guastatoya,1,499.92502154435317,469.8364198727609,128.82658094937884,255.0012366539197,869.3193556991864,362.1867114167971,385.9837700839986,624.514848403706,667.7100622524243,250.65890790339657,-46.64974929545076,0.0,-1.934896601338068,FINAL
202,El Progreso,Morazán,1,537.8735509995524,519.3307368368494,139.03309410033285,264.74158390845076,915.4865316967787,391.48236051925926,421.87698635306987,674.0506502258987,707.901178676658,292.1090156064878,-43.7527966502288,2.2222222222222223,-1.767669323504441,FINAL
203,El Progreso,San Agustín Acasaguastlán,1,850.9877350833432,803.7139101189359,209.55483649472433,449.03125982454816,1443.3263690258161,651.150073327422,667.0332575041872,1051.1688863128218,1135.464650613372,488.1936653593334,-39.257780758443126,2.2222222222222223,-1.7312607801974704,FINAL
204,El Progreso,San Cristóbal Acasaguastlán,1,1206.029603749147,1164.1188039644203,288.26095581054057,640.560918983903,2032.8848499396247,900.582867025676,985.7490847577214,1419.2956953598684,1574.3231805123485,624.1209168924428,-46.38683656968759,0.0,-2.018687148318358,FINAL
205,El Progreso,El Jícaro,1,831.8877020564397,796.281638856121,201.77447027937458,441.0793525178318,1432.019866752547,607.5894512824669,668.4840034010718,996.9979512777599,1090.6681288066256,395.989208843476,-50.270207233168826,0.0,-2.160325300863998,FINAL
206,El Progreso,Sansare,1,505.998147835385,493.72831685928827,119.29226852926067,271.26989149628923,842.5582501489566,362.34006171675685,410.15869767061815,621.0008122903171,653.3164078380468,250.79025128966364,-49.2048070313256,0.0,-2.139349848000607,FINAL
207,El Progreso,Sanarate,1,574.1882496351507,562.7867003738043,134.01539834303213,299.16941322795986,948.0214365500367,411.29249466071934,464.91088890904274,700.6023997219515,727.6790752696263,291.7203800590315,-48.1650188490115,0.0,-2.1077269706955692,FINAL
208,El Progreso,San Antonio La Paz,1,585.7613569216905,578.0544676737322,134.50533234946002,329.2859187354839,932.2245324303535,407.2911165552276,478.6041448847334,681.4582060999207,751.3601645928582,276.64915621247565,-52.141334133131714,0.0,-2.298140864081928,FINAL
301,Sacatepéquez,Antigua Guatemala,1,686.4445699312046,673.5686405620521,131.24946982128176,489.28855104196333,1205.1174606450268,549.5241757683476,575.4599690040349,803.3234189611871,822.626152242013,322.2571909654264,-52.15674074485974,0.0,-2.774772191169081,FINAL
302,Sacatepéquez,Jocotenango,1,691.9122278494875,678.5260472225385,133.00926007348656,488.4300879939808,1214.0732566822403,547.965213695404,584.4630350001839,808.3600184620718,827.002718883518,319.8923092588499,-52.854822512961874,0.0,-2.796947508655409,FINAL
303,Sacatepéquez,Pastores,1,723.5100863668026,711.7522028228472,142.33409664696933,498.4557345611861,1252.820637906568,572.1892138253802,597.3329563265056,840.6324819342186,868.0454284219496,316.84529609481814,-55.48376319199395,0.0,-2.857114351739861,FINAL
304,Sacatepéquez,Sumpango,1,791.7566790943899,772.1999238111999,163.07981547651625,549.7594358629478,1397.2986550717678,611.6501328512785,661.1201991874383,915.2094950139572,973.7574048153277,354.0711321346513,-54.14773801231034,0.0,-2.683873204546065,FINAL
305,Sacatepéquez,Santo Domingo Xenacoj,0,832.2260841706184,796.3429791043001,180.5512098131162,575.1943395398738,1475.7912473821038,636.3366878046314,695.5980430597929,994.9757240260277,1061.4217993753846,389.0788473376462,-51.141799758783705,0.0,-2.4544130016722803,FINAL
