department,hist_mean_mm,hist_median_mm,hist_sd_mm,rain_2015_mm,z_2015_common,p_2015_common,rain_2019_mm,z_2019_common,p_2019_common,rain_2026_mm,z_2026_common,p_2026_common
Sacatepéquez,855.4294038969008,842.7567532639081,157.83485749588633,668.8599265192964,-1.182054967689675,8.88888888888889,628.2087252238119,-1.439610250093272,2.2222222222222223,411.81345174195525,-2.8106335900262565,0.0
Chimaltenango,1044.0606465642154,1038.5387969162887,189.78712504295078,776.6280510354677,-1.4091187453744554,2.2222222222222223,806.1033337667391,-1.2538116731765874,6.666666666666667,519.1270689754333,-2.7659072103546762,0.0
Chiquimula,815.929029166815,807.3616041869591,164.4632764568623,428.8528376461788,-2.3535721764740827,2.2222222222222223,667.2688434924371,-0.9039111276210682,15.555555555555555,375.56816113305655,-2.677563511567656,0.0
Guatemala,837.4091688841,827.0072490248505,162.03883751194434,593.8487063481126,-1.5030992956736924,4.444444444444445,591.4853088276143,-1.5176846725918902,2.2222222222222223,416.29520943518963,-2.5988458440888835,0.0
Suchitepéquez,1581.8635114039407,1549.3138927474513,305.38178636856134,1074.8681519371655,-1.6602016953784173,2.2222222222222223,1346.6038122939024,-0.7703789473092756,22.22222222222222,790.647845167702,-2.590906535864358,0.0
Sololá,1181.2217326451168,1157.2308755118345,228.72253427782957,821.993361500884,-1.5705858291508683,2.2222222222222223,976.7188995327884,-0.8941088107388603,20.0,593.9192360942761,-2.5677509144658375,0.0
Escuintla,1337.3444133227952,1278.9517808488408,248.53219555275106,950.9700799390052,-1.5546248747550366,2.2222222222222223,1069.2985368910574,-1.0785157063276531,11.11111111111111,703.7687504849976,-2.5492699705512436,0.0
Quetzaltenango,1353.7124848672404,1323.1389707905407,217.9485059003289,1106.1920753664122,-1.1356829838238167,13.333333333333334,1169.5134955913861,-0.8451491260054391,22.22222222222222,830.8351608277163,-2.399086526790157,0.0
Jalapa,778.0929618849588,777.4292305315136,161.78991121169415,446.29131729548226,-2.0508178915762576,2.2222222222222223,574.5530190811825,-1.2580508962481243,11.11111111111111,401.13982312480806,-2.329892735196115,0.0
Jutiapa,894.7794356514366,871.4786473170204,153.85800828168064,518.1815853377666,-2.447697422575503,2.2222222222222223,724.09037758259,-1.1093933944364598,13.333333333333334,546.4054319373128,-2.264256554500086,2.2222222222222223
San Marcos,1331.0406225105382,1312.7136445025392,194.05865558880205,1120.98484326744,-1.0824344763481872,17.77777777777778,1077.36934190755,-1.3071886942291382,8.88888888888889,898.8119419592507,-2.227309465995439,0.0
Totonicapán,612.3997509803278,595.6333181849612,130.48336733946914,421.0557261459314,-1.4664246389088849,4.444444444444445,468.88784039671754,-1.0998483064147608,13.333333333333334,328.8476515757819,-2.1730899898287332,0.0
Santa Rosa,1125.0267852811892,1089.691678327933,211.03923470846445,784.1079378982228,-1.6154287512173806,2.2222222222222223,874.208314888692,-1.1884921338867858,8.88888888888889,666.4203941638503,-2.1730859276042707,0.0
Retalhuleu,1231.1470135454692,1222.7802919605447,235.60339464278542,923.880082467764,-1.3041702202278274,6.666666666666667,1044.3968676169054,-0.7926462443875592,20.0,720.7924042978489,-2.1661598298335396,0.0
Zacapa,825.5038439668364,819.2691197951492,178.27436748553214,429.3688593253383,-2.222052391652134,2.2222222222222223,596.3491832107424,-1.2854044245855538,6.666666666666667,447.2924677268657,-2.121512932983282,2.2222222222222223
El Progreso,686.1830980873821,641.5059126707496,164.33279788103044,359.88745862675955,-1.9855783122298318,2.2222222222222223,438.3855836703391,-1.50790053849407,4.444444444444445,361.4858261708935,-1.9758519060300719,2.2222222222222223
Quiché,1388.9266478930583,1383.4277016170472,261.3193148009849,854.2519612621326,-2.046058811374591,2.2222222222222223,997.3926325716765,-1.4982972675386266,4.444444444444445,876.720467338273,-1.960077772838454,2.2222222222222223
Huehuetenango,1221.937609135838,1172.3087483168663,249.80899784585958,750.511546330658,-1.8871460470613857,2.2222222222222223,839.2548995015668,-1.5319012242721506,4.444444444444445,765.5783832823046,-1.8268326192762772,2.2222222222222223
Baja Verapaz,810.891821274643,772.0816527248587,173.2635697208806,461.75313885221175,-2.015072660599554,2.2222222222222223,541.8108350444967,-1.553015366494082,4.444444444444445,504.1287178173119,-1.7704997302751635,2.2222222222222223
Alta Verapaz,1553.4698106885137,1512.1919474776907,276.5659108321415,1029.435455724363,-1.8947901185197307,4.444444444444445,995.1986577509026,-2.0185826635606126,2.2222222222222223,1166.0998964005828,-1.4006423030314845,6.666666666666667
Petén,904.0143165384143,908.4824215581931,176.63044852459726,632.0109802756522,-1.5399572301085076,6.666666666666667,583.5051979883292,-1.8145745607697503,2.2222222222222223,712.1945555186674,-1.0859948702051472,17.77777777777778
Izabal,1313.1939192575628,1303.8233988982067,200.02655815001205,889.7918633275408,-2.1167291975922873,2.2222222222222223,953.5044868405887,-1.798208376645771,4.444444444444445,1164.543578470878,-0.7431530200864775,22.22222222222222
