key,Departamento,agricultural_land_ha,maize_bean_ha,agricultural_workers,total_workers,ag_workers_per_100_agricultural_ha,agricultural_share_pct,rain_2026_mm,hist_mean_mm,hist_median_mm,hist_sd_mm,z_2015_common,z_2026_common,drought_severity_negative_z,drought_severity_negative_z_2015,impact_composite,impact_composite_2015
SACATEPEQUEZ,Sacatepéquez,26166.457951125103,7555.409855731338,27536,141435,105.23396040623072,19.469014034715595,411.8134517419553,855.4294038969008,842.7567532639081,157.83485749588633,-1.182054967689675,-2.8106335900262565,2.8106335900262565,1.182054967689675,295.7741039292452,124.3923256678436
CHIMALTENANGO,Chimaltenango,86033.15831693525,21615.91136184203,79578,213958,92.49689486795862,37.19328092429355,519.1270689754333,1044.0606465642154,1038.538796916289,189.7871250429508,-1.4091187453744554,-2.765907210354676,2.765907210354676,1.4091187453744554,255.83782845070516,130.33910844737073
SOLOLA,Sololá,48077.41185841798,14219.006252468402,44230,140336,91.99746469350694,31.51721582487744,593.9192360942761,1181.2217326451168,1157.2308755118345,228.7225342778296,-1.5705858291508683,-2.567750914465837,2.567750914465837,1.5705858291508683,236.226574095291,144.48991436542934
GUATEMALA,Guatemala,82594.12955835264,17596.499553218568,53776,1323510,65.10874354818078,4.063135148204396,416.2952094351896,837.4091688841,827.0072490248505,162.03883751194434,-1.5030992956736924,-2.5988458440888835,2.5988458440888835,1.5030992956736924,169.20758758403855,97.8649065694696
TOTONICAPAN,Totonicapán,31915.86325326737,29415.84907270648,23983,137217,75.14445029947531,17.478155039098652,328.8476515757819,612.3997509803278,595.6333181849612,130.48336733946914,-1.4664246389088849,-2.173089989828733,2.173089989828733,1.4664246389088849,163.29565273697253,110.19367339641472
BAJA VERAPAZ,Baja Verapaz,65714.74301134964,24578.86394691581,45338,97178,68.99212858851116,46.65459260326411,504.1287178173119,810.891821274643,772.0816527248587,173.2635697208806,-2.015072660599554,-1.7704997302751635,1.7704997302751635,2.015072660599554,122.1505450570684,139.02415211527776
SAN MARCOS,San Marcos,190741.03768170465,50495.06423609846,99248,248010,52.03285103524401,40.01774122011209,898.8119419592507,1331.0406225105382,1312.7136445025392,194.05865558880205,-1.0824344763481872,-2.227309465995439,2.227309465995439,1.0824344763481872,115.89326165352956,56.32215186323758
JALAPA,Jalapa,113183.18179783726,26794.09786621484,55551,112979,49.08061349540669,49.16931465139539,401.13982312480806,778.0929618849588,777.4292305315136,161.78991121169415,-2.0508178915762576,-2.329892735196115,2.329892735196115,2.0508178915762576,114.35256482191645,100.65540028591916
QUETZALTENANGO,Quetzaltenango,128215.95421402948,37260.02724702857,58843,269819,45.89366460727191,21.808323357510037,830.8351608277163,1353.7124848672404,1323.1389707905407,217.9485059003289,-1.1356829838238167,-2.399086526790157,2.399086526790157,1.1356829838238167,110.10287242433232,52.12065395979605
HUEHUETENANGO,Huehuetenango,286583.2809957086,98462.10516210266,161393,308957,56.31626501003621,52.23801370417242,765.5783832823046,1221.937609135838,1172.3087483168665,249.8089978458596,-1.8871460470613857,-1.8268326192762767,1.8268326192762767,1.8871460470613857,102.88038991614138,106.27701689895126
EL PROGRESO,El Progreso,30204.190133214644,9239.501881081133,15027,60496,49.75137533475946,24.83965882041788,361.4858261708935,686.1830980873821,641.5059126707496,164.33279788103044,-1.985578312229832,-1.975851906030072,1.975851906030072,1.985578312229832,98.301349782802,98.78525186830458
CHIQUIMULA,Chiquimula,123416.3680019482,36261.01982381843,44231,114820,35.838844325172325,38.52203448876502,375.56816113305655,815.929029166815,807.3616041869591,164.4632764568623,-2.3535721764740827,-2.677563511567656,2.677563511567656,2.3535721764740827,95.96078186183496,84.34930684071165
QUICHE,Quiché,261402.8154548237,144701.08979227717,115896,261326,44.33617128352217,44.349203676633785,876.720467338273,1388.9266478930583,1383.4277016170472,261.3193148009849,-2.046058811374591,-1.960077772838454,1.960077772838454,2.046058811374591,86.90234386559035,90.71441391726364
