codigo_municipio_4d,Departamento,Municipio,maga_department,maga_municipality,mapped_area_ha,agricultural_land_ha,maize_bean_ha,A,total,agricultural_share_pct,agricultural_land_share_of_mapped_pct,maize_bean_share_of_agricultural_land_pct,ag_workers_per_100_agricultural_ha
0101,Guatemala,Guatemala,Guatemala,Guatemala,21466.42055406609,2151.445350765659,381.695070068622,3677,433053,0.8490877560021521,10.022375856035021,17.741332352819647,170.9083616133417
0102,Guatemala,Santa Catarina Pinula,Guatemala,Santa Catarina Pinula,6723.877645078345,706.401221551772,198.224623254254,531,36964,1.4365328427659345,10.505860737499205,28.06119485733734,75.16974543638769
0103,Guatemala,San José Pinula,Guatemala,San José Pinula,19766.70690490929,9801.22057885838,972.92462633214,3295,34372,9.58629116722914,49.58448883776454,9.926565967005955,33.61826186329736
0104,Guatemala,San José Del Golfo,Guatemala,San José del Golfo,7635.727902564532,1705.610516409682,1064.5943564759789,520,2517,20.659515295987287,22.337235404064575,62.41720171361014,30.48761689712153
0105,Guatemala,Palencia,Guatemala,Palencia,21736.37876172288,13916.566020496772,2927.21522483787,8531,25562,33.37375792191534,64.02430769656735,21.03403397452053,61.301042135216875
0106,Guatemala,Chinautla,Guatemala,Chinautla,6694.88464535069,756.343246753478,229.876610923858,764,47498,1.6084887784748831,11.297330526504679,30.393159707656366,101.01233841637217
0107,Guatemala,San Pedro Ayampuc,Guatemala,San Pedro Ayampuc,10668.222694646513,2014.7454377611487,1058.9798961279487,2273,22311,10.187799740038546,18.885483509565102,52.561473835857,112.81822295752819
0108,Guatemala,Mixco,Guatemala,Mixco,9019.497369424655,451.31090078180694,57.21840750455,1279,217942,0.5868533830101587,5.003725621249287,12.67826844098612,283.39665578305005
0109,Guatemala,San Pedro Sacatepéquez,Guatemala,San Pedro Sacatepéquez,2884.994698948051,829.9788912096719,99.740418751353,853,23094,3.6936000692820645,28.768818587857552,12.017223547213836,102.77369810655972
0110,Guatemala,San Juan Sacatepéquez,Guatemala,San Juan Sacatepéquez,27255.45929344141,8787.18664874935,3348.139420248979,11822,82187,14.384270018372735,32.24009749439021,38.102518520253675,134.53680310389885
0111,Guatemala,San Raymundo,Guatemala,San Raimundo,12477.921202616337,4128.460065274733,1601.137313310589,3192,11551,27.633971084754567,33.08612066254344,38.78291876377977,77.3169644257558
0112,Guatemala,Chuarrancho,Guatemala,Chuarrancho,11778.037801424618,2639.410558580046,1887.932576065096,1670,3776,44.226694915254235,22.409594900950268,71.52856799514997,63.271702637214155
0113,Guatemala,Fraijanes,Guatemala,Fraijanes,11498.084441460107,6357.883222379264,575.472373162299,1743,27984,6.228559176672384,55.2951515945894,9.05132027490974,27.414784748873224
0114,Guatemala,Amatitlán,Guatemala,Amatitlán,10078.320971275458,6111.393012688719,1276.493622103438,3783,46555,8.125872623778326,60.638999592362595,20.887113943631686,61.90078092090599
0115,Guatemala,Villa Nueva,Guatemala,Villa Nueva,8894.51819054402,2043.823051550765,793.51969854089,2528,185915,1.3597611811849502,22.978457154920466,38.825264150866744,123.68976845044693
0116,Guatemala,Villa Canales,Guatemala,Villa Canales,27955.342694151746,19912.025890150566,1014.07442794197,6715,62212,10.793737542596284,71.22797995359993,5.092773751582854,33.72333903664497
0117,Guatemala,Petapa,Guatemala,Petapa,2375.6042284866485,280.32494439083,109.26088756873,600,60017,0.9997167469217055,11.800153452724228,38.97651270605376,214.03732061870238
0201,El Progreso,Guastatoya,El Progreso,Guastatoya,21781.275379610925,1575.299802140862,779.158083833556,1071,9940,10.774647887323944,7.232357952810574,49.46093961128323,67.98705862493544
0202,El Progreso,Morazán,El Progreso,Morazán,34715.71951663719,4513.622447310803,1703.0063488966555,1984,4044,49.060336300692384,13.001667573525852,37.73036776505973,43.95582535225246
0203,El Progreso,San Agustín Acasaguastlán,El Progreso,San Agustín Acasaguastlán,42574.656015727254,6750.147167088978,1735.086871068864,4574,13750,33.265454545454546,15.854848397589977,25.704430260846085,67.76148559102529
0204,El Progreso,San Cristóbal Acasaguastlán,El Progreso,San Cristóbal Acasaguastlán,16453.867060045453,2703.717570911594,452.51718085923,650,2123,30.617051342439943,16.432110220927754,16.736850983538854,24.040972585048664
0205,El Progreso,El Jícaro,El Progreso,El Jícaro,11440.894126367119,2591.126694138648,170.977390899955,1519,4312,35.22727272727273,22.64793874953391,6.598573172308424,58.623146580833314
0206,El Progreso,Sansare,El Progreso,Sansare,14389.928113243233,3039.800266988378,1494.827041340271,1006,4113,24.459032336494044,21.124499323876478,49.17517303928791,33.09427961188629
0207,El Progreso,Sanarate,El Progreso,Sanarate,27385.77873494493,4275.052309754498,2130.1682724278257,2535,14954,16.95198609067808,15.610482912064962,49.82788789665486,59.29752003772736
0208,El Progreso,San Antonio La Paz,El Progreso,San Antonio La Paz,14721.881053552528,4755.423874880884,773.7606917547749,1688,7260,23.25068870523416,32.30174090921184,16.271119296892465,35.49630999071101
0301,Sacatepéquez,Antigua Guatemala,Sacatepéquez,Antigua Guatemala,6900.000000082703,2550.965075795215,676.766354068451,1405,20907,6.720237241115416,36.970508344415066,26.529816518851476,55.077194640229166
0302,Sacatepéquez,Jocotenango,Sacatepéquez,Jocotenango,999.9999997954756,486.292787592055,41.39334800081,184,10135,1.8154908732116428,48.62927876915137,8.512021781317138,37.83728747265636
