codigo_municipio_4d,Departamento,Municipio,maga_department,maga_municipality,mapped_area_ha,agricultural_land_ha,maize_bean_ha,A,total,agricultural_share_pct,agricultural_land_share_of_mapped_pct,maize_bean_share_of_agricultural_land_pct,ag_workers_per_100_agricultural_ha,historical_mean_may_aug_mm,historical_sd_may_aug_mm,rain_2026_may_aug_mm,rainfall_z_score_vs_1981_2025,z_2015_common,z_2026_common,impact_composite,impact_composite_2015
0315,Sacatepéquez,San Antonio Aguas Calientes,Sacatepéquez,San Antonio Aguas Calientes,500.0000000995087,186.031676529294,180.062941053978,671,5435,12.34590616375345,37.20633529845409,96.79154884443773,360.6912610360414,746.1007177910299,145.22642163423063,334.6225304007186,-2.833356236144592,-1.0963942105137656,-2.833356236144592,1021.9668337793248,395.45981038282514
0913,Quetzaltenango,Almolonga,Quetzaltenango,Almolonga,1254.997751256787,619.194523213569,175.18712386364902,2505,5608,44.66833095577746,49.338297426707875,28.29274441163371,404.55784185545673,776.4790522113119,150.50365733191862,407.858850495564,-2.449244146292061,-1.4027090448117046,-2.449244146292061,990.8609260010267,567.4769439201524
0401,Chimaltenango,Chimaltenango,Chimaltenango,Chimaltenango,4905.498489017539,1485.657806104169,774.4807506335337,5025,39003,12.883624336589493,30.28556240370411,52.130493808964644,338.2340118534446,749.512736867835,154.63552760171504,340.28009547309296,-2.646433505557511,-1.2957450271836166,-2.646433505557511,895.1138216880921,438.26503888346525
0911,Quetzaltenango,Concepción Chiquirichapa,Quetzaltenango,Concepción Chiquirichapa,2189.996076238951,1041.616386824333,31.8442290664,3341,5279,63.28850161015344,47.56247730878043,3.057193556976027,320.75148224059717,1525.6055127944646,237.32764234552107,911.4473851410232,-2.5878069726041417,-1.3618270336121083,-2.5878069726041417,830.0429222153309,436.8080395863993
0309,Sacatepéquez,Santa Lucía Milpas Altas,Sacatepéquez,Santa Lucía Milpas Altas,900.0000002267109,310.431352603478,3.75023044955,854,7000,12.2,34.49237250280889,1.208070775744184,275.10107881752407,669.6792800983123,132.8006168235905,324.51074494216965,-2.5991485838853987,-1.224407213449113,-2.5991485838853987,715.0285794339131,336.83574533180945
0108,Guatemala,Mixco,Guatemala,Mixco,9019.497369424655,451.31090078180694,57.21840750455,1279,217942,0.5868533830101587,5.003725621249287,12.67826844098612,283.39665578305005,782.2114395617658,168.7531626939166,363.275977793733,-2.4825339868023404,-1.33750850229919,-2.4825339868023404,703.5418297275457,379.04543663298637
0310,Sacatepéquez,Magdalena Milpas Altas,Sacatepéquez,Magdalena Milpas Altas,1400.0000000613384,514.5319092055884,85.667037415859,1132,4639,24.401810735072214,36.75227922736037,16.649509171962656,220.00579162286584,630.1849154482805,123.36504196439412,299.9384107805216,-2.676986117048259,-1.0977234308621218,-2.676986117048259,588.952449844624,241.50551238978935
0117,Guatemala,Petapa,Guatemala,Petapa,2375.6042284866485,280.32494439083,109.26088756873,600,60017,0.9997167469217055,11.800153452724228,38.97651270605376,214.03732061870238,824.5842238321788,155.46342950729655,396.8738649209823,-2.751195958218086,-1.2564564383674306,-2.751195958218086,588.8586113940025,268.9285695422826
0715,Sololá,San Pablo La Laguna,Sololá,San Pablo La Laguna,599.879078648328,359.48964717297997,40.79951810038,847,2529,33.491498616053775,59.92701862231913,11.349288754551534,235.61179206711307,1315.3595202734073,265.1779670282575,657.1620407104492,-2.4820971626681945,-1.5632377551714938,-2.4820971626681945,584.81136058095,368.3172489229266
0708,Sololá,Concepción,Sololá,Concepción,1499.697696978553,409.379950923798,94.29438693236,954,1990,47.93969849246231,27.297498139030115,23.033464809299357,233.0353496421171,788.8802352552333,169.24181993202586,392.1391731520407,-2.344225926325653,-1.4501502476298649,-2.344225926325653,546.2875083814143,337.9362699900283
