rank_2026_C,department,rainfall_2026_may_aug_mm,historical_median_rainfall_mm_1981_2025,historical_sd_rainfall_mm_1981_2025,z_2026_common_1981_2025,H_2026,agricultural_workers_ine_2018,total_workers_ine_2018,agricultural_dependence_pct,mapped_agricultural_land_ha_maga_2025,ag_workers_per_100_mapped_agricultural_ha,d_dependency_percentile,p_density_percentile,E_structural_exposure,C_impact_2026,z_2015_common_1981_2025,H_2015,C_impact_2015,oxfam_households_with_losses_pct
1,Chimaltenango,519.1270689754333,1038.538796916289,189.7871250429508,-2.765907210354676,2.765907210354676,79578,213958,37.19328092429355,86033.15831693525,92.49689486795862,59.09090909090909,95.45454545454544,77.27272727272728,213.7291935274068,-1.4091187453744554,1.4091187453744554,108.88644850620793,
2,Sololá,593.9192360942761,1157.2308755118345,228.7225342778296,-2.567750914465837,2.567750914465837,44230,140336,31.51721582487744,48077.41185841798,91.99746469350694,45.45454545454545,90.9090909090909,68.18181818181819,175.07392598630707,-1.5705858291508683,1.5705858291508683,107.08539744210466,
3,Jalapa,401.13982312480806,777.4292305315136,161.78991121169415,-2.329892735196115,2.329892735196115,55551,112979,49.16931465139539,113183.18179783726,49.08061349540669,90.9090909090909,59.09090909090909,75.0,174.74195513970864,-2.0508178915762576,2.0508178915762576,153.81134186821933,99.96
4,Sacatepéquez,411.8134517419553,842.7567532639081,157.83485749588633,-2.8106335900262565,2.8106335900262565,27536,141435,19.469014034715595,26166.457951125103,105.23396040623072,13.636363636363637,100.0,56.81818181818182,159.69509034240093,-1.182054967689675,1.182054967689675,67.16221407327699,
5,Huehuetenango,765.5783832823046,1172.3087483168665,249.8089978458596,-1.8268326192762767,1.8268326192762767,161393,308957,52.23801370417242,286583.2809957086,56.31626501003621,95.45454545454544,72.72727272727273,84.0909090909091,153.62001571186872,-1.8871460470613857,1.8871460470613857,158.69182668470742,40.85
6,San Marcos,898.8119419592507,1312.7136445025392,194.05865558880205,-2.227309465995439,2.227309465995439,99248,248010,40.01774122011209,190741.03768170465,52.03285103524401,68.18181818181817,68.18181818181817,68.18181818181817,151.86200904514357,-1.0824344763481872,1.0824344763481872,73.80235066010367,
7,Baja Verapaz,504.1287178173119,772.0816527248587,173.2635697208806,-1.7704997302751635,1.7704997302751635,45338,97178,46.65459260326411,65714.74301134964,68.99212858851116,81.81818181818183,81.81818181818183,81.81818181818183,144.85906884069522,-2.015072660599554,2.015072660599554,164.8695813217817,86.83
8,Chiquimula,375.56816113305655,807.3616041869591,164.4632764568623,-2.677563511567656,2.677563511567656,44231,114820,38.52203448876502,123416.3680019482,35.838844325172325,63.63636363636363,40.909090909090914,52.27272727272727,139.963547195582,-2.3535721764740827,2.3535721764740827,123.02763649750888,97.55
9,Jutiapa,546.4054319373128,871.4786473170204,153.85800828168064,-2.264256554500086,2.264256554500086,64206,156649,40.98717514953814,178202.6093607355,36.02977545072183,72.72727272727273,45.45454545454545,59.09090909090909,133.79697822045964,-2.447697422575503,2.447697422575503,144.63666587946153,
10,Quiché,876.720467338273,1383.4277016170472,261.3193148009849,-1.960077772838454,1.960077772838454,115896,261326,44.349203676633785,261402.8154548237,44.33617128352217,77.27272727272727,50.0,63.63636363636363,124.7322219079016,-2.046058811374591,2.046058811374591,130.20374254201943,53.52
