rank_2026_C,codigo_municipio_4d,department,municipality,rainfall_2026_may_aug_mm,historical_median_rainfall_mm_1981_2025,historical_sd_rainfall_mm_1981_2025,z_2026_common_1981_2025,H_2026,agricultural_workers_ine_2018,total_workers_ine_2018,agricultural_dependence_pct,mapped_agricultural_land_ha_maga_2025,ag_workers_per_100_mapped_agricultural_ha,d_dependency_percentile,p_density_percentile,E_structural_exposure,C_impact_2026,z_2015_common_1981_2025,H_2015,C_impact_2015
1,0409,Chimaltenango,Patzicía,419.6740858943718,872.3938064406719,161.5301684122741,-2.895050063610169,2.895050063610169,7235,12740,56.78963893249608,4311.8857047094925,167.79201712368786,85.88235294117646,94.41176470588236,90.1470588235294,260.98024838132847,-1.1966248734367029,1.1966248734367029,107.87221285539688
2,0410,Chimaltenango,Santa Cruz Balanyá,290.8025381654734,635.0795505775494,122.5060484514632,-2.8455828271955323,2.8455828271955323,2247,3989,56.32990724492354,1415.76650684822,158.71261179940416,83.82352941176471,94.11764705882352,88.97058823529412,253.1731780078378,-1.21987880466665,1.21987880466665,108.5333348269593
3,0911,Quetzaltenango,Concepción Chiquirichapa,911.4473851410232,1500.2137871461423,237.32764234552107,-2.5878069726041417,2.5878069726041417,3341,5279,63.28850161015344,1041.616386824333,320.7514822405972,90.29411764705884,99.11764705882354,94.7058823529412,245.08054269956875,-1.3618270336121083,1.3618270336121083,128.9730308303232
4,0407,Chimaltenango,Patzún,429.3250317428252,909.4169523442768,173.08210726476085,-2.817084277690548,2.817084277690548,10772,21864,49.26820343944384,7336.472331685787,146.82806004019633,71.47058823529412,92.64705882352942,82.05882352941177,231.16662161048907,-1.382673318691082,1.382673318691082,113.46054585729762
5,0916,Quetzaltenango,Zunil,798.5623496136836,1433.6391453463,260.0360140540043,-2.6516715919209166,2.6516715919209166,2866,5944,48.216689098250335,1444.282275341132,198.4376633939557,69.11764705882352,96.76470588235294,82.94117647058823,219.9327614475584,-1.5968610466041029,1.5968610466041029,132.4455338653991
6,0311,Sacatepéquez,Santa María De Jesús,352.24300882925337,712.9902328350416,135.44881171951408,-2.763470636283113,2.763470636283113,4049,8374,48.35204203486983,3355.459592761767,120.6690138285171,69.41176470588235,88.8235294117647,79.11764705882352,218.6392944588698,-1.0894454185132716,1.0894454185132716,86.1943581117853
7,0405,Chimaltenango,Santa Apolonia,315.98459542583936,657.1506472384403,134.54131993168744,-2.5697705428362725,2.5697705428362725,2929,5644,51.89581856839121,1900.659775922316,154.10438191541516,75.58823529411765,93.52941176470588,84.55882352941177,217.29677384277304,-1.357413047730138,1.357413047730138,114.78125035953374
8,1225,San Marcos,San Cristóbal Cucho,964.5046386551028,1479.7758217648434,229.6468442801039,-2.3889947219487944,2.3889947219487944,2311,4019,57.50186613585469,1506.666491183405,153.384973617143,87.05882352941177,93.23529411764706,90.14705882352942,215.3608477286193,-1.2010059187591662,1.2010059187591662,108.26715120578956
9,0304,Sacatepéquez,Sumpango,354.0711321346513,772.1999238111999,163.07981547651625,-2.683873204546065,2.683873204546065,6318,14512,43.53638368246968,3414.496215277479,185.03461716347425,60.882352941176464,95.58823529411764,78.23529411764706,209.9736095321333,-1.328310891624589,1.328310891624589,103.92079328592372
10,0912,Quetzaltenango,San Martín Sacatepéquez,1065.438487778987,1735.6607611973668,261.3859745369572,-2.665662102952942,2.665662102952942,4755,9588,49.593241551939926,4825.272752207301,98.54365222825685,71.76470588235294,82.05882352941177,76.91176470588235,205.0207764477042,-1.420755456208861,1.420755456208861,109.27280935253444
11,0414,Chimaltenango,Parramos,364.8497853642977,783.6544526426499,147.67331471128813,-2.936100989454637,2.936100989454637,2163,5528,39.12807525325615,1976.9081354711852,109.41327830007944,51.47058823529412,86.47058823529412,68.97058823529412,202.50461236091544,-1.1326548495714988,1.1326548495714988,78.11987124250484
